row_num,date,kot,season,round_type,round,home_team,home_team_city,away_team,away_team_city,referee,attendance,home_score,away_score,home_won,away_won,draw,home_pos_b4_game,away_pos_b4_game,underdog,home_position,away_position,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,derby,while_world_cup,while_champion_league,while_european_games,home_promoted,home_league_pts,home_is_relegated,home_is_champion,away_promoted,away_league_pts,away_is_relegated,away_is_champion,game_stadium,capacity,att_ratio,ln(attendance),ln(capacity),built_in,stadium_age,stadium_age_squared,home_team_stadium,away_team_stadium,distance_in_km,home_key,away_key
0,25/08/2012,18:50,2012,Regular Season,1,Hapoel Beer Sheva,Be'er Sheva,Ihud Bnei Sakhnin,Sakhnin,Eitan Tabrizi,4500,0,0,0,0,1,,,Ihud Bnei Sakhnin,8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,0,1,,,Vasermil,13000,0.346153846,8.411832676,9.472704636,1959,53,2809,Vasermil,Doha,185.5881194,2012 - Regular Season - 1 - Hapoel Beer Sheva,2012 - Regular Season - 1 - Ihud Bnei Sakhnin
1,25/08/2012,19:00,2012,Regular Season,1,Hapoel Haifa,Haifa,Maccabi Netanya,Netanya,Ziv Adler,4000,0,0,0,0,1,,,Maccabi Netanya,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,0,1,,,Kiryat Eliezer,14000,0.285714286,8.29404964,9.546812609,1955,57,3249,Kiryat Eliezer,Netanya,60.09484263,2012 - Regular Season - 1 - Hapoel Haifa,2012 - Regular Season - 1 - Maccabi Netanya
2,25/08/2012,19:00,2012,Regular Season,1,FC Ashdod,Ashdod,Hapoel Ramat haSharon,Ramat HaSharon,Menashe Masiah,500,2,0,1,0,0,,,Hapoel Ramat haSharon,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,3,,,0,0,,,Yud-Alef,7800,0.064102564,6.214608098,8.961879013,1966,46,2116,Yud-Alef,Grundman,40.50664662,2012 - Regular Season - 1 - FC Ashdod,2012 - Regular Season - 1 - Hapoel Ramat haSharon
3,25/08/2012,19:00,2012,Regular Season,1,Hapoel Acre,Acre,Bnei Yehuda Tel Aviv,Tel Aviv,Eli Hacmon,600,1,1,0,0,1,,,Bnei Yehuda Tel Aviv,5,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,0,1,,,Giv'at Napoleon,5000,0.12,6.396929655,8.517193191,2011,1,1,Giv'at Napoleon,Bloomfield,99.72365342,2012 - Regular Season - 1 - Hapoel Acre,2012 - Regular Season - 1 - Bnei Yehuda Tel Aviv
4,25/08/2012,21:00,2012,Regular Season,1,Ironi Kiryat Shmona,Kiryat Shmona,Beitar Jerusalem,Jerusalem,Eitan Shmuelevic,3800,3,2,1,0,0,,,Beitar Jerusalem,2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,3,,,0,0,,,Kiryat Shmona Municipal,5300,0.716981132,8.242756346,8.5754621,1989,23,529,Kiryat Shmona Municipal,Teddy,165.5846248,2012 - Regular Season - 1 - Ironi Kiryat Shmona,2012 - Regular Season - 1 - Beitar Jerusalem
5,26/08/2012,21:10,2012,Regular Season,1,Hapoel Ramat Gan,Ramat Gan,Hapoel Tel Aviv,Tel Aviv,Alon Yefet,4000,0,1,0,1,0,,,Hapoel Ramat Gan,13,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,0,3,,,Ramat Gan,41583,0.096193156,8.29404964,10.63544671,1950,62,3844,Ramat Gan,Bloomfield,8.03908902,2012 - Regular Season - 1 - Hapoel Ramat Gan,2012 - Regular Season - 1 - Hapoel Tel Aviv
6,27/08/2012,21:50,2012,Regular Season,1,Maccabi Tel Aviv,Tel Aviv,Maccabi Haifa,Haifa,Liran Liany,13500,2,1,1,0,0,,,Maccabi Haifa,3,12,0,0,0,0,0,0,1,0,0,0,0,0,0,3,,,0,0,,,Bloomfield,29400,0.459183673,9.510444964,10.28874995,1962,50,2500,Bloomfield,Kiryat Eliezer,88.45445851,2012 - Regular Season - 1 - Maccabi Tel Aviv,2012 - Regular Season - 1 - Maccabi Haifa
7,01/09/2012,18:50,2012,Regular Season,2,Maccabi Haifa,Haifa,Ironi Kiryat Shmona,Kiryat Shmona,Orel Grinfeld,10000,1,3,0,1,0,12,2,Maccabi Haifa,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,6,,,Kiryat Eliezer,14000,0.714285714,9.210340372,9.546812609,1955,57,3249,Kiryat Eliezer,Kiryat Shmona Municipal,69.79442636,2012 - Regular Season - 2 - Maccabi Haifa,2012 - Regular Season - 2 - Ironi Kiryat Shmona
8,01/09/2012,19:00,2012,Regular Season,2,Ihud Bnei Sakhnin,Sakhnin,FC Ashdod,Ashdod,Haim Jakov,1000,1,3,0,1,0,9,1,Ihud Bnei Sakhnin,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,0,6,,,Doha,8500,0.117647059,6.907755279,9.047821442,2006,6,36,Doha,Yud-Alef,132.6922934,2012 - Regular Season - 2 - Ihud Bnei Sakhnin,2012 - Regular Season - 2 - FC Ashdod
9,01/09/2012,19:00,2012,Regular Season,2,Hapoel Ramat haSharon,Ramat HaSharon,Hapoel Acre,Acre,Guy Berger,150,3,1,1,0,0,14,5,Hapoel Acre,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,3,,,0,1,,,Grundman,4700,0.031914894,5.010635294,8.455317788,1998,14,196,Grundman,Giv'at Napoleon,89.00132824,2012 - Regular Season - 2 - Hapoel Ramat haSharon,2012 - Regular Season - 2 - Hapoel Acre
10,01/09/2012,19:00,2012,Regular Season,2,Bnei Yehuda Tel Aviv,Tel Aviv,Hapoel Ramat Gan,Ramat Gan,Erez Papir,2500,1,0,1,0,0,6,13,Hapoel Ramat Gan,5,13,0,0,0,0,1,0,0,0,0,0,0,0,0,4,,,1,0,,,Bloomfield,29400,0.085034014,7.824046011,10.28874995,1962,50,2500,Bloomfield,Ramat Gan,8.03908902,2012 - Regular Season - 2 - Bnei Yehuda Tel Aviv,2012 - Regular Season - 2 - Hapoel Ramat Gan
11,01/09/2012,21:00,2012,Regular Season,2,Beitar Jerusalem,Jerusalem,Hapoel Beer Sheva,Be'er Sheva,Shay Shitrit,5500,1,1,0,0,1,11,8,Beitar Jerusalem,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,0,2,,,Teddy,31733,0.173321148,8.612503371,10.36511243,1990,22,484,Teddy,Vasermil,67.22693736,2012 - Regular Season - 2 - Beitar Jerusalem,2012 - Regular Season - 2 - Hapoel Beer Sheva
12,02/09/2012,21:10,2012,Regular Season,2,Hapoel Tel Aviv,Tel Aviv,Hapoel Haifa,Haifa,Roi Reinshreiber,7500,2,0,1,0,0,4,7,Hapoel Haifa,3,12,0,0,0,0,0,0,1,0,0,0,0,0,0,6,,,0,1,,,Bloomfield,29400,0.255102041,8.9226583,10.28874995,1962,50,2500,Bloomfield,Kiryat Eliezer,88.45445851,2012 - Regular Season - 2 - Hapoel Tel Aviv,2012 - Regular Season - 2 - Hapoel Haifa
13,03/09/2012,21:50,2012,Regular Season,2,Maccabi Netanya,Netanya,Maccabi Tel Aviv,Tel Aviv,Liran Wachsberger,4500,0,1,0,1,0,10,3,Maccabi Netanya,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,0,6,,,Sar-Tov,7500,0.6,8.411832676,8.9226583,1943,69,4761,Netanya,Bloomfield,28.62028019,2012 - Regular Season - 2 - Maccabi Netanya,2012 - Regular Season - 2 - Maccabi Tel Aviv
14,13/09/2012,21:00,2012,Regular Season,3,FC Ashdod,Ashdod,Beitar Jerusalem,Jerusalem,Daniel Bar Natan,2000,2,1,1,0,0,1,8,Beitar Jerusalem,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,9,,,0,1,,,Yud-Alef,7800,0.256410256,7.60090246,8.961879013,1966,46,2116,Yud-Alef,Teddy,51.78822461,2012 - Regular Season - 3 - FC Ashdod,2012 - Regular Season - 3 - Beitar Jerusalem
15,15/09/2012,17:50,2012,Regular Season,3,Hapoel Haifa,Haifa,Maccabi Tel Aviv,Tel Aviv,Alon Yefet,6000,1,3,0,1,0,12,4,Hapoel Haifa,13,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,0,9,,,Kiryat Eliezer,14000,0.428571429,8.699514748,9.546812609,1955,57,3249,Kiryat Eliezer,Bloomfield,88.45445851,2012 - Regular Season - 3 - Hapoel Haifa,2012 - Regular Season - 3 - Maccabi Tel Aviv
16,15/09/2012,19:00,2012,Regular Season,3,Ironi Kiryat Shmona,Kiryat Shmona,Maccabi Netanya,Netanya,Halim Zatma,2500,0,1,0,1,0,2,9,Maccabi Netanya,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,6,,,0,4,,,Kiryat Shmona Municipal,5300,0.471698113,7.824046011,8.5754621,1989,23,529,Kiryat Shmona Municipal,Netanya,121.2858395,2012 - Regular Season - 3 - Ironi Kiryat Shmona,2012 - Regular Season - 3 - Maccabi Netanya
17,15/09/2012,19:00,2012,Regular Season,3,Hapoel Acre,Acre,Ihud Bnei Sakhnin,Sakhnin,Ziv Adler,800,5,1,1,0,0,10,11,Ihud Bnei Sakhnin,5,14,0,0,0,0,1,0,0,0,0,0,0,0,0,4,,,0,1,,,Giv'at Napoleon,5000,0.16,6.684611728,8.517193191,2011,1,1,Giv'at Napoleon,Doha,21.52676216,2012 - Regular Season - 3 - Hapoel Acre,2012 - Regular Season - 3 - Ihud Bnei Sakhnin
18,15/09/2012,19:00,2012,Regular Season,3,Hapoel Ramat Gan,Ramat Gan,Hapoel Ramat haSharon,Ramat HaSharon,Liran Liany,1000,1,1,0,0,1,13,6,Hapoel Ramat Gan,11,6,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,,0,4,,,Ramat Gan,41583,0.024048289,6.907755279,10.63544671,1950,62,3844,Ramat Gan,Grundman,4.495109806,2012 - Regular Season - 3 - Hapoel Ramat Gan,2012 - Regular Season - 3 - Hapoel Ramat haSharon
19,15/09/2012,20:00,2012,Regular Season,3,Hapoel Tel Aviv,Tel Aviv,Bnei Yehuda Tel Aviv,Tel Aviv,Eitan Tabrizi,11000,2,0,1,0,0,3,5,Bnei Yehuda Tel Aviv,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,9,,,0,4,,,Bloomfield,29400,0.37414966,9.305650552,10.28874995,1962,50,2500,Bloomfield,Bloomfield,0,2012 - Regular Season - 3 - Hapoel Tel Aviv,2012 - Regular Season - 3 - Bnei Yehuda Tel Aviv
20,15/09/2012,21:45,2012,Regular Season,3,Hapoel Beer Sheva,Be'er Sheva,Maccabi Haifa,Haifa,Eli Hacmon,7500,1,1,0,0,1,7,14,Maccabi Haifa,9,12,0,0,0,0,0,0,1,0,0,0,0,0,0,3,,,0,1,,,Vasermil,13000,0.576923077,8.9226583,9.472704636,1959,53,2809,Vasermil,Kiryat Eliezer,175.4538074,2012 - Regular Season - 3 - Hapoel Beer Sheva,2012 - Regular Season - 3 - Maccabi Haifa
21,22/09/2012,19:00,2012,Regular Season,4,Maccabi Netanya,Netanya,Hapoel Beer Sheva,Be'er Sheva,Roi Reinshreiber,2500,2,1,1,0,0,7,9,Hapoel Beer Sheva,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,7,,,0,3,,,Sar-Tov,7500,0.333333333,7.824046011,8.9226583,1943,69,4761,Netanya,Vasermil,115.6341574,2012 - Regular Season - 4 - Maccabi Netanya,2012 - Regular Season - 4 - Hapoel Beer Sheva
22,22/09/2012,19:00,2012,Regular Season,4,Bnei Yehuda Tel Aviv,Tel Aviv,Hapoel Haifa,Haifa,Orel Grinfeld,2500,3,1,1,0,0,8,13,Hapoel Haifa,5,13,0,0,0,0,1,0,0,0,0,0,0,0,0,7,,,0,1,,,Bloomfield,29400,0.085034014,7.824046011,10.28874995,1962,50,2500,Bloomfield,Kiryat Eliezer,88.45445851,2012 - Regular Season - 4 - Bnei Yehuda Tel Aviv,2012 - Regular Season - 4 - Hapoel Haifa
23,22/09/2012,19:00,2012,Regular Season,4,Ihud Bnei Sakhnin,Sakhnin,Hapoel Ramat Gan,Ramat Gan,Asaf Kenan,900,1,3,0,1,0,14,11,Ihud Bnei Sakhnin,14,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,1,4,,,Doha,8500,0.105882353,6.802394763,9.047821442,2006,6,36,Doha,Ramat Gan,96.47494895,2012 - Regular Season - 4 - Ihud Bnei Sakhnin,2012 - Regular Season - 4 - Hapoel Ramat Gan
24,22/09/2012,19:40,2012,Regular Season,4,Maccabi Haifa,Haifa,FC Ashdod,Ashdod,Eitan Shmuelevic,9000,0,1,0,1,0,12,1,Maccabi Haifa,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,0,12,,,Kiryat Eliezer,14000,0.642857143,9.104979856,9.546812609,1955,57,3249,Kiryat Eliezer,Yud-Alef,117.0351043,2012 - Regular Season - 4 - Maccabi Haifa,2012 - Regular Season - 4 - FC Ashdod
25,22/09/2012,21:00,2012,Regular Season,4,Beitar Jerusalem,Jerusalem,Hapoel Acre,Acre,Liran Liany,4500,0,1,0,1,0,10,5,Beitar Jerusalem,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,0,7,,,Teddy,31733,0.141808212,8.411832676,10.36511243,1990,22,484,Teddy,Giv'at Napoleon,128.6612994,2012 - Regular Season - 4 - Beitar Jerusalem,2012 - Regular Season - 4 - Hapoel Acre
26,23/09/2012,21:00,2012,Regular Season,4,Hapoel Ramat haSharon,Ramat HaSharon,Hapoel Tel Aviv,Tel Aviv,Eli Hacmon,2500,1,0,1,0,0,6,2,Hapoel Ramat haSharon,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,7,,,0,9,,,Grundman,4700,0.531914894,7.824046011,8.455317788,1998,14,196,Grundman,Bloomfield,12.53293135,2012 - Regular Season - 4 - Hapoel Ramat haSharon,2012 - Regular Season - 4 - Hapoel Tel Aviv
27,24/09/2012,21:50,2012,Regular Season,4,Maccabi Tel Aviv,Tel Aviv,Ironi Kiryat Shmona,Kiryat Shmona,Menashe Masiah,12200,4,0,1,0,0,3,4,Ironi Kiryat Shmona,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,12,,,0,6,,,Bloomfield,29400,0.414965986,9.409191231,10.28874995,1962,50,2500,Bloomfield,Kiryat Shmona Municipal,149.2857438,2012 - Regular Season - 4 - Maccabi Tel Aviv,2012 - Regular Season - 4 - Ironi Kiryat Shmona
28,29/09/2012,17:00,2012,Regular Season,5,Hapoel Tel Aviv,Tel Aviv,Ihud Bnei Sakhnin,Sakhnin,Liran Liany,8500,1,0,1,0,0,3,14,Ihud Bnei Sakhnin,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,12,,,0,1,,,Bloomfield,29400,0.289115646,9.047821442,10.28874995,1962,50,2500,Bloomfield,Doha,104.0887237,2012 - Regular Season - 5 - Hapoel Tel Aviv,2012 - Regular Season - 5 - Ihud Bnei Sakhnin
29,29/09/2012,19:00,2012,Regular Season,5,Hapoel Haifa,Haifa,Ironi Kiryat Shmona,Kiryat Shmona,Shay Shitrit,3000,1,1,0,0,1,13,8,Hapoel Haifa,13,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,,0,7,,,Kiryat Eliezer,14000,0.214285714,8.006367568,9.546812609,1955,57,3249,Kiryat Eliezer,Kiryat Shmona Municipal,69.79442636,2012 - Regular Season - 5 - Hapoel Haifa,2012 - Regular Season - 5 - Ironi Kiryat Shmona
30,29/09/2012,19:00,2012,Regular Season,5,FC Ashdod,Ashdod,Maccabi Netanya,Netanya,Guy Berger,3000,3,0,1,0,0,2,7,Maccabi Netanya,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,15,,,0,7,,,Yud-Alef,7800,0.384615385,8.006367568,8.961879013,1966,46,2116,Yud-Alef,Netanya,57.42352253,2012 - Regular Season - 5 - FC Ashdod,2012 - Regular Season - 5 - Maccabi Netanya
31,29/09/2012,19:10,2012,Regular Season,5,Hapoel Acre,Acre,Maccabi Haifa,Haifa,Eitan Tabrizi,5000,0,0,0,0,1,4,12,Maccabi Haifa,4,12,0,0,0,0,1,0,0,0,0,0,0,0,0,8,,,0,2,,,Giv'at Napoleon,5000,1,8.517193191,8.517193191,2011,1,1,Giv'at Napoleon,Kiryat Eliezer,13.26881254,2012 - Regular Season - 5 - Hapoel Acre,2012 - Regular Season - 5 - Maccabi Haifa
32,29/09/2012,21:00,2012,Regular Season,5,Bnei Yehuda Tel Aviv,Tel Aviv,Hapoel Ramat haSharon,Ramat HaSharon,Haim Jakov,4000,2,2,0,0,1,5,6,Hapoel Ramat haSharon,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,8,,,0,8,,,Bloomfield,29400,0.136054422,8.29404964,10.28874995,1962,50,2500,Bloomfield,Grundman,12.53293135,2012 - Regular Season - 5 - Bnei Yehuda Tel Aviv,2012 - Regular Season - 5 - Hapoel Ramat haSharon
33,29/09/2012,21:10,2012,Regular Season,5,Hapoel Ramat Gan,Ramat Gan,Beitar Jerusalem,Jerusalem,Erez Papir,3000,2,2,0,0,1,9,11,Beitar Jerusalem,10,11,0,0,0,0,0,0,1,0,0,0,0,0,1,5,,,0,2,,,Ramat Gan,41583,0.072144867,8.006367568,10.63544671,1950,62,3844,Ramat Gan,Teddy,51.9871842,2012 - Regular Season - 5 - Hapoel Ramat Gan,2012 - Regular Season - 5 - Beitar Jerusalem
34,01/10/2012,21:50,2012,Regular Season,5,Hapoel Beer Sheva,Be'er Sheva,Maccabi Tel Aviv,Tel Aviv,Alon Yefet,9500,3,1,1,0,0,10,1,Hapoel Beer Sheva,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,,,0,12,,,Vasermil,13000,0.730769231,9.159047078,9.472704636,1959,53,2809,Vasermil,Bloomfield,88.50381649,2012 - Regular Season - 5 - Hapoel Beer Sheva,2012 - Regular Season - 5 - Maccabi Tel Aviv
