fixture,id,referee,timezone,date,timestamp,periods,first,second,venue,id,name,city,status,long,short,elapsed,league,id,name,country,logo,flag,season,round,teams,home,id,name,logo,winner,away,id,name,logo,winner,goals,home,away,score,halftime,home,away,fulltime,home,away,extratime,home,away,penalty,home,away
,179267,E. Shmuelevich,UTC,2019-08-26T17:15:00+00:00,1566839700,,1566839700,1566843300,,10592,Bloomfield Stadium,Tel-Aviv,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 1,,,4501,Hapoel Tel Aviv,https://media-5.api-sports.io/football/teams/4501.png,None,,4505,Maccabi Netanya,https://media-1.api-sports.io/football/teams/4505.png,None,,0,0,,,0,0,,0,0,,None,None,,None,None
,179268,D. Bar Natan,UTC,2019-08-24T17:30:00+00:00,1566667800,,1566667800,1566671400,,3408,HaMoshava Stadium,Petach-Tikva,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 1,,,4499,Sektzia Nes Tziona,https://media-6.api-sports.io/football/teams/4499.png,False,,604,Maccabi Tel Aviv,https://media-1.api-sports.io/football/teams/604.png,True,,0,2,,,0,2,,0,2,,None,None,,None,None
,179269,E. Hacmon,UTC,2019-08-25T17:00:00+00:00,1566752400,,1566752400,1566756000,,10592,Bloomfield Stadium,Tel-Aviv,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 1,,,4508,Bnei Yehuda,https://media-6.api-sports.io/football/teams/4508.png,True,,4510,Ironi Kiryat Shmona,https://media-6.api-sports.io/football/teams/4510.png,False,,2,1,,,0,1,,2,1,,None,None,,None,None
,179270,I. Layba,UTC,2019-08-25T16:00:00+00:00,1566748800,,1566748800,1566752400,,3408,HaMoshava Stadium,Petach-Tikva,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 1,,,4497,Hapoel Kfar Saba,https://media-1.api-sports.io/football/teams/4497.png,False,,2253,Hapoel Haifa,https://media-6.api-sports.io/football/teams/2253.png,True,,0,1,,,0,0,,0,1,,None,None,,None,None
,179271,D. Fuxman,UTC,2019-08-24T15:00:00+00:00,1566658800,,1566658800,1566662400,,868,Sammy Ofer Stadium,Haifa,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 1,,,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,True,,4509,Hapoel Ra'anana,https://media-4.api-sports.io/football/teams/4509.png,False,,4,3,,,2,2,,4,3,,None,None,,None,None
,179272,L. Liani,UTC,2019-08-25T17:15:00+00:00,1566753300,,1566753300,1566756900,,866,Teddi Malcha Stadium,Jerusalem,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 1,,,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,None,,563,Hapoel Beer Sheva,https://media-2.api-sports.io/football/teams/563.png,None,,0,0,,,0,0,,0,0,,None,None,,None,None
,179273,O. Grinfeld,UTC,2019-08-24T16:00:00+00:00,1566662400,,1566662400,1566666000,,869,Winner Stadium,Netanya,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 1,,,4500,Hapoel Hadera,https://media-6.api-sports.io/football/teams/4500.png,None,,4507,Ashdod,https://media-4.api-sports.io/football/teams/4507.png,None,,1,1,,,0,1,,1,1,,None,None,,None,None
,179274,E. Papir,UTC,2019-08-31T15:00:00+00:00,1567263600,,1567263600,1567267200,,3419,Yud-Alef Stadium,Ashdod,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 2,,,4507,Ashdod,https://media-4.api-sports.io/football/teams/4507.png,True,,4501,Hapoel Tel Aviv,https://media-4.api-sports.io/football/teams/4501.png,False,,2,1,,,0,0,,2,1,,None,None,,None,None
,179275,I. Frid,UTC,2019-09-01T16:50:00+00:00,1567356600,,1567356600,1567360200,,867,Yaakov Turner Toto Stadium,Beer Sheva,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 2,,,563,Hapoel Beer Sheva,https://media-5.api-sports.io/football/teams/563.png,True,,4500,Hapoel Hadera,https://media-4.api-sports.io/football/teams/4500.png,False,,3,0,,,1,0,,3,0,,None,None,,None,None
,179276,S. Ben Avraham,UTC,2019-09-01T17:00:00+00:00,1567357200,,1567357200,1567360800,,3408,HaMoshava Stadium,Petach-Tikva,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 2,,,4509,Hapoel Ra'anana,https://media-6.api-sports.io/football/teams/4509.png,True,,657,Beitar Jerusalem,https://media-2.api-sports.io/football/teams/657.png,False,,2,1,,,1,0,,2,1,,None,None,,None,None
,179277,Z. Adler,UTC,2019-08-31T17:30:00+00:00,1567272600,,1567272600,1567276200,,868,Sammy Ofer Stadium,Haifa,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-1.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2019,Regular Season - 2,,,2253,Hapoel Haifa,https://media-6.api-sports.io/football/teams/2253.png,None,,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,None,,0,0,,,0,0,,0,0,,None,None,,None,None
