,gameID,referee,date,timestamp,KOT,second,venueID,stadiums,city,leagueID,leagueName,country,logo,flag,season,round,homeTeamID,homeTeamName,homeTeamLogo,homeWinner,awayTeamID,awayTeamName,awayTeamLogo,awayWinner,homeGoals,awayGoals,homeHalfTimeScore,awayhomeHalfTimeScore,homeFullTimeScore,awayFullTimeScore,awayExtraTimeScore,awayPenaltyTimeScore
0,179929,None,2017-03-18T16:15:00+00:00,1489853700,1489853700,1489857300,None,Winner Stadium (Netanya),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 1,604,Maccabi Tel Aviv,https://media-1.api-sports.io/football/teams/604.png,TRUE,4481,Bnei Sakhnin,https://media-4.api-sports.io/football/teams/4481.png,FALSE,3,0,0,0,3,0,None,None
1,179930,None,2017-03-18T18:30:00+00:00,1489861800,1489861800,1489865400,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 1,4495,Maccabi Petah Tikva,https://media-6.api-sports.io/football/teams/4495.png,FALSE,657,Beitar Jerusalem,https://media-2.api-sports.io/football/teams/657.png,TRUE,0,1,0,0,0,1,None,None
2,179931,None,2017-03-19T19:00:00+00:00,1489950000,1489950000,1489953600,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 1,563,Hapoel Beer Sheva,https://media-1.api-sports.io/football/teams/563.png,TRUE,4195,Maccabi Haifa,https://media-6.api-sports.io/football/teams/4195.png,FALSE,4,0,1,0,4,0,None,None
3,179932,None,2017-04-01T16:30:00+00:00,1491064200,1491064200,1491067800,None,Sammy Ofer Stadium (Haifa),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 2,4195,Maccabi Haifa,https://media-6.api-sports.io/football/teams/4195.png,TRUE,657,Beitar Jerusalem,https://media-2.api-sports.io/football/teams/657.png,FALSE,3,2,2,2,3,2,None,None
4,179933,None,2017-04-01T18:10:00+00:00,1491070200,1491070200,1491073800,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 2,563,Hapoel Beer Sheva,https://media-6.api-sports.io/football/teams/563.png,TRUE,604,Maccabi Tel Aviv,https://media-6.api-sports.io/football/teams/604.png,FALSE,1,0,1,0,1,0,None,None
5,179934,None,2017-04-02T16:00:00+00:00,1491148800,1491148800,1491152400,None,Doha Stadium (Sakhnin),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 2,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,TRUE,4495,Maccabi Petah Tikva,https://media-6.api-sports.io/football/teams/4495.png,FALSE,1,0,0,0,1,0,None,None
6,179935,None,2017-04-08T17:30:00+00:00,1491672600,1491672600,1491676200,None,Teddi Malcha Stadium (Jerusalem),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 3,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,TRUE,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,FALSE,3,0,0,0,3,0,None,None
7,179936,None,2017-04-09T17:10:00+00:00,1491757800,1491757800,1491761400,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 3,4495,Maccabi Petah Tikva,https://media-2.api-sports.io/football/teams/4495.png,FALSE,563,Hapoel Beer Sheva,https://media-5.api-sports.io/football/teams/563.png,TRUE,1,2,1,1,1,2,None,None
8,179937,None,2017-04-09T18:00:00+00:00,1491760800,1491760800,1491764400,None,Winner Stadium (Netanya),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 3,604,Maccabi Tel Aviv,https://media-2.api-sports.io/football/teams/604.png,TRUE,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,FALSE,3,0,2,0,3,0,None,None
9,179938,None,2017-04-15T15:00:00+00:00,1492268400,1492268400,1492272000,None,Sammy Ofer Stadium (Haifa),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 4,4195,Maccabi Haifa,https://media-5.api-sports.io/football/teams/4195.png,FALSE,4481,Bnei Sakhnin,https://media-1.api-sports.io/football/teams/4481.png,TRUE,0,1,0,0,0,1,None,None
