,date,kot,season,round_type,round,home_team,home_team_city,away_team,away_team_city,referee,attendance,home_score,away_score,home_won,away_won,draw,home_pos_b4_game,home_lg_b4_game,away_pos_b4_game,away_lg_b4_game,underdog,home_position,away_position,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,derby,while_world_cup,while_champion_league,while_european_games,home_promoted,home_league_pts,home_is_relegated,home_is_champion,away_promoted,away_league_pts,away_is_relegated,away_is_champion,game_stadium,capacity,att_ratio,ln(attendance),ln(capacity),built_in,stadium_age,stadium_age_squared,home_team_stadium,away_team_stadium,distance_in_km,home_key,away_key,day_of_week_num,day_of_week
0,25/08/2012,18:50,2012,Regular Season,1,Hapoel Beer Sheva,Beer Sheva,Ihud Bnei Sakhnin,Sakhnin,Eitan Tabrizi,4500,0,0,0,0,1,,0,,0,,8,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,,,0,1,,,Vasermil,13000,0.346153846,8.411832676,9.472704636,1959,53,2809,Vasermil,Doha,185.5881194,2012 - Regular Season - 1 - Hapoel Beer Sheva,2012 - Regular Season - 1 - Ihud Bnei Sakhnin,5,Saturday
1,25/08/2012,19:00,2012,Regular Season,1,Hapoel Haifa,Haifa,Maccabi Netanya,Netanya,Ziv Adler,4000,0,0,0,0,1,,0,,0,,7,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,,,0,1,,,Kiryat Eliezer,14000,0.285714286,8.29404964,9.546812609,1955,57,3249,Kiryat Eliezer,Netanya,60.09484263,2012 - Regular Season - 1 - Hapoel Haifa,2012 - Regular Season - 1 - Maccabi Netanya,5,Saturday
2,25/08/2012,19:00,2012,Regular Season,1,FC Ashdod,Ashdod,Hapoel Ramat haSharon,Ramat haSharon,Menashe Masiah,500,2,0,1,0,0,,0,,0,,1,14,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,3,,,0,0,,,Yud-Alef,7800,0.064102564,6.214608098,8.961879013,1966,46,2116,Yud-Alef,Grundman,40.50664662,2012 - Regular Season - 1 - FC Ashdod,2012 - Regular Season - 1 - Hapoel Ramat haSharon,5,Saturday
3,25/08/2012,19:00,2012,Regular Season,1,Hapoel Acre,Acre,Bnei Yehuda Tel Aviv,Tel Aviv,Eli Hacmon,600,1,1,0,0,1,,0,,0,,5,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,,,0,1,,,Giv'at Napoleon,5000,0.12,6.396929655,8.517193191,2011,1,1,Giv'at Napoleon,Bloomfield,99.72365342,2012 - Regular Season - 1 - Hapoel Acre,2012 - Regular Season - 1 - Bnei Yehuda Tel Aviv,5,Saturday
4,25/08/2012,21:00,2012,Regular Season,1,Ironi Kiryat Shmona,Kiryat Shmona,Beitar Jerusalem,Jerusalem,Eitan Shmuelevic,3800,3,2,1,0,0,,0,,0,,2,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,3,,,0,0,,,Kiryat Shmona Municipal,5300,0.716981132,8.242756346,8.5754621,1989,23,529,Kiryat Shmona Municipal,Teddy,165.5846248,2012 - Regular Season - 1 - Ironi Kiryat Shmona,2012 - Regular Season - 1 - Beitar Jerusalem,5,Saturday
5,26/08/2012,21:10,2012,Regular Season,1,Hapoel Ramat Gan,Ramat Gan,Hapoel Tel Aviv,Tel Aviv,Alon Yefet,4000,0,1,0,1,0,,0,,0,,13,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,1,0,,,0,3,,,Ramat Gan,41583,0.096193156,8.29404964,10.63544671,1950,62,3844,Ramat Gan,Bloomfield,8.03908902,2012 - Regular Season - 1 - Hapoel Ramat Gan,2012 - Regular Season - 1 - Hapoel Tel Aviv,6,Sunday
6,27/08/2012,21:50,2012,Regular Season,1,Maccabi Tel Aviv,Tel Aviv,Maccabi Haifa,Haifa,Liran Liany,13500,2,1,1,0,0,,0,,0,,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,3,,,0,0,,,Bloomfield,29400,0.459183673,9.510444964,10.28874995,1962,50,2500,Bloomfield,Kiryat Eliezer,88.45445851,2012 - Regular Season - 1 - Maccabi Tel Aviv,2012 - Regular Season - 1 - Maccabi Haifa,0,Monday
7,01/09/2012,18:50,2012,Regular Season,2,Maccabi Haifa,Haifa,Ironi Kiryat Shmona,Kiryat Shmona,Orel Grinfeld,10000,1,3,0,1,0,12,0,2,3,Maccabi Haifa,14,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,,,0,6,,,Kiryat Eliezer,14000,0.714285714,9.210340372,9.546812609,1955,57,3249,Kiryat Eliezer,Kiryat Shmona Municipal,69.79442636,2012 - Regular Season - 2 - Maccabi Haifa,2012 - Regular Season - 2 - Ironi Kiryat Shmona,5,Saturday
8,01/09/2012,19:00,2012,Regular Season,2,Ihud Bnei Sakhnin,Sakhnin,FC Ashdod,Ashdod,Haim Jakov,1000,1,3,0,1,0,9,1,1,3,Ihud Bnei Sakhnin,11,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,,,0,6,,,Doha,8500,0.117647059,6.907755279,9.047821442,2006,6,36,Doha,Yud-Alef,132.6922934,2012 - Regular Season - 2 - Ihud Bnei Sakhnin,2012 - Regular Season - 2 - FC Ashdod,5,Saturday
9,01/09/2012,19:00,2012,Regular Season,2,Hapoel Ramat haSharon,Ramat haSharon,Hapoel Acre,Acre,Guy Berger,150,3,1,1,0,0,14,0,5,1,Hapoel Ramat haSharon,6,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,3,,,0,1,,,Grundman,4700,0.031914894,5.010635294,8.455317788,1998,14,196,Grundman,Giv'at Napoleon,89.00132824,2012 - Regular Season - 2 - Hapoel Ramat haSharon,2012 - Regular Season - 2 - Hapoel Acre,5,Saturday
10,01/09/2012,19:00,2012,Regular Season,2,Bnei Yehuda Tel Aviv,Tel Aviv,Hapoel Ramat Gan,Ramat Gan,Erez Papir,2500,1,0,1,0,0,6,1,13,0,Hapoel Ramat Gan,5,13,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,4,,,1,0,,,Bloomfield,29400,0.085034014,7.824046011,10.28874995,1962,50,2500,Bloomfield,Ramat Gan,8.03908902,2012 - Regular Season - 2 - Bnei Yehuda Tel Aviv,2012 - Regular Season - 2 - Hapoel Ramat Gan,5,Saturday
11,01/09/2012,21:00,2012,Regular Season,2,Beitar Jerusalem,Jerusalem,Hapoel Beer Sheva,Beer Sheva,Shay Shitrit,5500,1,1,0,0,1,11,0,8,1,Beitar Jerusalem,8,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,,,0,2,,,Teddy,31733,0.173321148,8.612503371,10.36511243,1990,22,484,Teddy,Vasermil,67.22693736,2012 - Regular Season - 2 - Beitar Jerusalem,2012 - Regular Season - 2 - Hapoel Beer Sheva,5,Saturday
12,02/09/2012,21:10,2012,Regular Season,2,Hapoel Tel Aviv,Tel Aviv,Hapoel Haifa,Haifa,Roi Reinshreiber,7500,2,0,1,0,0,4,3,7,1,Hapoel Haifa,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,6,,,0,1,,,Bloomfield,29400,0.255102041,8.9226583,10.28874995,1962,50,2500,Bloomfield,Kiryat Eliezer,88.45445851,2012 - Regular Season - 2 - Hapoel Tel Aviv,2012 - Regular Season - 2 - Hapoel Haifa,6,Sunday
13,03/09/2012,21:50,2012,Regular Season,2,Maccabi Netanya,Netanya,Maccabi Tel Aviv,Tel Aviv,Liran Wachsberger,4500,0,1,0,1,0,10,1,3,3,Maccabi Netanya,9,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,,,0,6,,,Sar-Tov,7500,0.6,8.411832676,8.9226583,1943,69,4761,Netanya,Bloomfield,28.62028019,2012 - Regular Season - 2 - Maccabi Netanya,2012 - Regular Season - 2 - Maccabi Tel Aviv,0,Monday
14,13/09/2012,21:00,2012,Regular Season,3,FC Ashdod,Ashdod,Beitar Jerusalem,Jerusalem,Daniel Bar Natan,2000,2,1,1,0,0,1,6,8,1,Beitar Jerusalem,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,9,,,0,1,,,Yud-Alef,7800,0.256410256,7.60090246,8.961879013,1966,46,2116,Yud-Alef,Teddy,51.78822461,2012 - Regular Season - 3 - FC Ashdod,2012 - Regular Season - 3 - Beitar Jerusalem,3,Thursday
15,15/09/2012,17:50,2012,Regular Season,3,Hapoel Haifa,Haifa,Maccabi Tel Aviv,Tel Aviv,Alon Yefet,6000,1,3,0,1,0,12,1,4,6,Hapoel Haifa,13,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,,,0,9,,,Kiryat Eliezer,14000,0.428571429,8.699514748,9.546812609,1955,57,3249,Kiryat Eliezer,Bloomfield,88.45445851,2012 - Regular Season - 3 - Hapoel Haifa,2012 - Regular Season - 3 - Maccabi Tel Aviv,5,Saturday
16,15/09/2012,19:00,2012,Regular Season,3,Ironi Kiryat Shmona,Kiryat Shmona,Maccabi Netanya,Netanya,Halim Zatma,2500,0,1,0,1,0,2,6,9,1,Maccabi Netanya,4,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,6,,,0,4,,,Kiryat Shmona Municipal,5300,0.471698113,7.824046011,8.5754621,1989,23,529,Kiryat Shmona Municipal,Netanya,121.2858395,2012 - Regular Season - 3 - Ironi Kiryat Shmona,2012 - Regular Season - 3 - Maccabi Netanya,5,Saturday
17,15/09/2012,19:00,2012,Regular Season,3,Hapoel Acre,Acre,Ihud Bnei Sakhnin,Sakhnin,Ziv Adler,800,5,1,1,0,0,10,1,11,1,Ihud Bnei Sakhnin,5,14,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,4,,,0,1,,,Giv'at Napoleon,5000,0.16,6.684611728,8.517193191,2011,1,1,Giv'at Napoleon,Doha,21.52676216,2012 - Regular Season - 3 - Hapoel Acre,2012 - Regular Season - 3 - Ihud Bnei Sakhnin,5,Saturday
18,15/09/2012,19:00,2012,Regular Season,3,Hapoel Ramat Gan,Ramat Gan,Hapoel Ramat haSharon,Ramat haSharon,Liran Liany,1000,1,1,0,0,1,13,0,6,3,Hapoel Ramat Gan,11,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,1,1,,,0,4,,,Ramat Gan,41583,0.024048289,6.907755279,10.63544671,1950,62,3844,Ramat Gan,Grundman,4.495109806,2012 - Regular Season - 3 - Hapoel Ramat Gan,2012 - Regular Season - 3 - Hapoel Ramat haSharon,5,Saturday
19,15/09/2012,20:00,2012,Regular Season,3,Hapoel Tel Aviv,Tel Aviv,Bnei Yehuda Tel Aviv,Tel Aviv,Eitan Tabrizi,11000,2,0,1,0,0,3,6,5,4,Bnei Yehuda Tel Aviv,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,9,,,0,4,,,Bloomfield,29400,0.37414966,9.305650552,10.28874995,1962,50,2500,Bloomfield,Bloomfield,0,2012 - Regular Season - 3 - Hapoel Tel Aviv,2012 - Regular Season - 3 - Bnei Yehuda Tel Aviv,5,Saturday
20,15/09/2012,21:45,2012,Regular Season,3,Hapoel Beer Sheva,Beer Sheva,Maccabi Haifa,Haifa,Eli Hacmon,7500,1,1,0,0,1,7,2,14,0,Maccabi Haifa,9,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,3,,,0,1,,,Vasermil,13000,0.576923077,8.9226583,9.472704636,1959,53,2809,Vasermil,Kiryat Eliezer,175.4538074,2012 - Regular Season - 3 - Hapoel Beer Sheva,2012 - Regular Season - 3 - Maccabi Haifa,5,Saturday
